Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,722	112455,934	4,0	8,0	60,0	20,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	114062,538	4,0	8,0	78,0	38,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	116653,067	4,0	8,0	101,0	61,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	113280,930	4,0	8,0	132,0	92,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	112988,132	4,0	8,0	171,0	131,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	111442,795	4,0	8,0	223,0	183,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	110296,785	4,0	8,0	290,0	250,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	105282,406	4,0	8,0	376,0	336,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	102789,977	4,0	8,0	489,0	449,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	98573,683	4,0	8,0	636,0	596,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	89847,944	4,0	8,0	827,0	787,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	83608,296	4,0	8,0	1075,0	1035,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	74527,829	4,0	8,0	1398,0	1358,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	61280,917	4,0	8,0	1817,0	1777,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	52282,570	4,0	8,0	2362,0	2322,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	38573,891	4,0	8,0	3071,0	3031,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	26733,614	4,0	8,0	3992,0	3952,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	13592,939	4,0	8,0	5190,0	5150,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	6642,075	4,0	8,0	6747,0	6707,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	3867,429	4,0	8,0	8772,0	8732,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	3381,019	4,0	8,0	11403,0	11363,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	3506,050	4,0	8,0	14824,0	14784,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	3364,049	4,0	8,0	19271,0	19231,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	3132,557	4,0	8,0	25052,0	25012,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
30,722	4158,684	4,0	8,0	32568,0	32528,0	2000,0	40,0	1,0	0,0	20,0	80,0	10,3
